case,nparticles,method_id,method,repeat,total_runtime_s,particle_contacts_s,contact_candidates_total,contacts_detected_total,loop_count
part18_n200_allpairs,200,0,all_pairs,1,2.1482832999936363E-002,2.0127150003645511E-002,3980000,0,200
part18_n200_allpairs,200,0,all_pairs,2,2.5518620000184455E-002,2.4012342004425591E-002,3980000,0,200
part18_n200_allpairs,200,0,all_pairs,3,2.4427432000265981E-002,2.2970523994445102E-002,3980000,0,200
part18_n200_allpairs,200,0,all_pairs,4,2.2204777000297327E-002,2.0849868999903265E-002,3980000,0,200
part18_n200_allpairs,200,0,all_pairs,5,2.2627124999416992E-002,2.1227218013336824E-002,3980000,0,200
part18_n200_cell,200,1,cell_linked,1,0.19318741699953534,0.19140197601063846,49400,0,200
part18_n200_cell,200,1,cell_linked,2,0.21119190500030527,0.20891267698880256,49400,0,200
part18_n200_cell,200,1,cell_linked,3,0.19705297499967855,0.19508579199282394,49400,0,200
part18_n200_cell,200,1,cell_linked,4,0.17449550199944497,0.17270954000014171,49400,0,200
part18_n200_cell,200,1,cell_linked,5,0.18088755100052367,0.17914381698665238,49400,0,200
part18_n1000_allpairs,1000,0,all_pairs,1,0.46661738999955560,0.46053372400274384,99900000,63224,200
part18_n1000_allpairs,1000,0,all_pairs,2,0.50193790400044236,0.49547154199535726,99900000,63224,200
part18_n1000_allpairs,1000,0,all_pairs,3,0.48826837400065415,0.48188697699788463,99900000,63224,200
part18_n1000_allpairs,1000,0,all_pairs,4,0.51514141900042887,0.50817961900065711,99900000,63224,200
part18_n1000_allpairs,1000,0,all_pairs,5,0.52824716099985380,0.52102890600053797,99900000,63224,200
part18_n1000_cell,1000,1,cell_linked,1,0.20819340499929240,0.20218091599963373,972801,63224,200
part18_n1000_cell,1000,1,cell_linked,2,0.22295985599976120,0.21639581799354346,972801,63224,200
part18_n1000_cell,1000,1,cell_linked,3,0.22901188900050329,0.22226937200321117,972801,63224,200
part18_n1000_cell,1000,1,cell_linked,4,0.21799834200010082,0.21166590199663915,972801,63224,200
part18_n1000_cell,1000,1,cell_linked,5,0.22356395199949475,0.21705171899429843,972801,63224,200
part18_n5000_allpairs,5000,0,all_pairs,1,14.474139273999754,14.438568874997145,2499500000,78880,200
part18_n5000_allpairs,5000,0,all_pairs,2,14.527111325000078,14.491497185004846,2499500000,78880,200
part18_n5000_allpairs,5000,0,all_pairs,3,12.536181599999509,12.506147243996566,2499500000,78880,200
part18_n5000_allpairs,5000,0,all_pairs,4,12.238586618000227,12.208562626003186,2499500000,78880,200
part18_n5000_allpairs,5000,0,all_pairs,5,12.369282151999869,12.339823655990585,2499500000,78880,200
part18_n5000_cell,5000,1,cell_linked,1,0.38387577199955558,0.35544171399942570,5447337,78880,200
part18_n5000_cell,5000,1,cell_linked,2,0.37184684099975129,0.34429950900630502,5447337,78880,200
part18_n5000_cell,5000,1,cell_linked,3,0.42926490999980160,0.39522313600627967,5447337,78880,200
part18_n5000_cell,5000,1,cell_linked,4,0.35965972399935708,0.33308423899688933,5447337,78880,200
part18_n5000_cell,5000,1,cell_linked,5,0.40537185900029726,0.37483577199600404,5447337,78880,200
