case,threads,repeat,total_runtime_s,initialize_s,gravity_s,particle_contacts_s,wall_contacts_s,integration_s,output_s
part10_n200,1,1,1.9440461000158393E-002,1.0440799997013528E-004,1.0593800061542424E-004,1.8236602003980806E-002,3.1760599767949316E-004,6.4501299993935390E-004,0.0000000000000000
part10_n200,1,2,2.2297662999790191E-002,1.7238999998880900E-004,1.1949400322919246E-004,2.0838147005179053E-002,3.6791699858440552E-004,7.6394600000639912E-004,0.0000000000000000
part10_n200,1,3,2.1697343000141700E-002,1.2167800014140084E-004,1.1199100117664784E-004,2.0337195001957298E-002,3.4585799630804104E-004,7.4260299834350008E-004,0.0000000000000000
part10_n200,1,4,3.7441738999859808E-002,1.5233999829433742E-004,2.0606600082828663E-004,3.5289307001221459E-002,8.1281999609927880E-004,9.3522699762615957E-004,0.0000000000000000
part10_n200,1,5,3.7056211999697553E-002,1.8111899998984882E-004,1.5775300335008069E-004,3.5001564000594954E-002,5.5344899828924099E-004,1.1133340044580109E-003,0.0000000000000000
part10_n200,6,1,1.6388518999974622E-002,1.4696799871671828E-004,9.1993800378986634E-004,1.3489802001458884E-002,7.9688699815960717E-004,9.8192499717697501E-004,0.0000000000000000
part10_n200,6,2,1.4017197000157466E-002,1.2648599931708304E-004,8.0668099644753966E-004,1.1821999999028776E-002,4.1008200014402973E-004,8.0903600337478565E-004,0.0000000000000000
part10_n200,6,3,1.2009251000108634E-002,1.0269299900755868E-004,7.7420399975380860E-004,9.9419059979481972E-003,3.9235400299730827E-004,7.6462399920274038E-004,0.0000000000000000
part10_n200,6,4,1.5254390000336571E-002,1.4079599714023061E-004,9.0041999965251307E-004,1.2717680999685399E-002,5.3855500618738006E-004,9.1110900530111394E-004,0.0000000000000000
part10_n200,6,5,1.5353541999957088E-002,1.4948999887565151E-004,8.3502399911594694E-004,1.2846101995364734E-002,5.6528700042690616E-004,9.1347700026744860E-004,0.0000000000000000
part10_n200,8,1,1.9759473999783950E-002,1.5176199940469814E-004,1.8056330013678235E-003,1.3616374003959208E-002,1.8243399995299114E-003,2.3104410033738532E-003,0.0000000000000000
part10_n200,8,2,2.4336085999948409E-002,1.9325300081618479E-004,9.1850280000471685E-003,1.2905526002214174E-002,8.3363100384303834E-004,1.1798019986599684E-003,0.0000000000000000
part10_n200,8,3,3.0849701000079222E-002,1.8425600273985765E-004,5.6366509975305235E-003,1.9605266001235577E-002,2.2472540013040998E-003,3.0738100012968061E-003,0.0000000000000000
part10_n200,8,4,2.6336053999784781E-002,1.7304899802184082E-004,1.2063680001119792E-003,1.8501940998703503E-002,2.0060699998794007E-003,4.4070860035390069E-003,0.0000000000000000
part10_n200,8,5,2.4236730999746214E-002,1.4564199818778434E-004,3.8477239968415233E-003,1.5199239000139642E-002,3.4879489994636970E-003,1.5084879996720701E-003,0.0000000000000000
part10_n1000,1,1,0.27157394400001067,8.0859800118560088E-004,2.1288399921104428E-004,0.26776769799835165,1.0412999999971362E-003,1.6911060024540348E-003,0.0000000000000000
part10_n1000,1,2,0.33770568199997797,7.0456000321428291E-004,1.8536699917603983E-004,0.33323449899535262,1.5340019981522346E-003,1.9806090053862135E-003,0.0000000000000000
part10_n1000,1,3,0.27340183400019669,6.7890400032410980E-004,1.5367499918284011E-004,0.26988630599907992,8.7390199996661977E-004,1.7688320008346636E-003,0.0000000000000000
part10_n1000,1,4,0.21672895200026687,8.3213500238343840E-004,1.3440300017464324E-004,0.21370984899976975,7.0618100016872631E-004,1.3177949986129533E-003,0.0000000000000000
part10_n1000,1,5,0.22357207699997161,7.9963200232668896E-004,1.2199999446238508E-004,0.22058007299938254,6.5523399916855851E-004,1.3916659995629743E-003,0.0000000000000000
part10_n1000,6,1,0.10531838700035223,7.4108199896727456E-004,8.0212500188281410E-004,0.10264729000209627,3.6384000077305245E-004,7.3359399948458304E-004,0.0000000000000000
part10_n1000,6,2,0.12111475499978042,7.4224299851266551E-004,6.3942900032998296E-004,0.11865128300041761,4.0508899746782845E-004,6.4867799983403529E-004,0.0000000000000000
part10_n1000,6,3,0.10287280600005033,7.0687799825464026E-004,6.2970600038170232E-004,0.10041253200142819,3.5438900022199959E-004,7.4012900176967378E-004,0.0000000000000000
part10_n1000,6,4,0.11183987499998693,8.1110100018122466E-004,7.5416699974084622E-004,0.10908095000195317,3.8171099868122838E-004,7.8255999824250466E-004,0.0000000000000000
part10_n1000,6,5,0.10910078400002021,6.4684200424380833E-004,7.1728899683876080E-004,0.10647147899953779,3.8289099757093936E-004,8.4437099803835736E-004,0.0000000000000000
part10_n1000,8,1,0.11470128700011628,8.6373499971159617E-004,9.6665600176493172E-004,0.11158896099959748,4.3468400053825462E-004,8.1612899975880282E-004,0.0000000000000000
part10_n1000,8,2,0.10870796100016378,8.3354699972915114E-004,8.1422300036138040E-004,0.10581857600163858,4.4430899833969306E-004,7.7284799863264197E-004,0.0000000000000000
part10_n1000,8,3,0.11319824299971515,7.6570000328501919E-004,1.0590979977678217E-003,0.10988277000205926,4.6889600116628571E-004,9.9315400120758568E-004,0.0000000000000000
part10_n1000,8,4,0.11011222099978113,6.9792900103493594E-004,1.7043999973793689E-003,0.10646218200008661,4.3796100180770736E-004,7.7979699835850624E-004,0.0000000000000000
part10_n1000,8,5,0.12235851700006606,7.9204100075003225E-004,1.6515650017936423E-003,0.11726019499883478,7.2309300094275386E-004,1.8904580033449747E-003,0.0000000000000000
